"ID","Gender","Gender_Code","Age","Wealth_SR","School_Year","School_Year_Code","Transfer","Transfer_Code","GPA","Subjective_Well_Being","Positive_Affect","Negative_Affect","Academic_Engagement","Religious_Meaning","Health","Emotion_Recognition"
23623542,"Male","2",22,3,"Senior","4","No",FALSE,3.48,4.4,3.7,2.8,3.8,3.17,2.25,"65%"
23623565,"Female","1",20,2,"Sophomore","2","No",FALSE,2.9,3,2.83,2.5,NA,NA,NA,"60%"
23623762,"Female","1",18,2,"First-Year","1","No",FALSE,3.856,5.2,3.8,1.3,2.6,2.5,2.5,NA
23623763,"Female","1",18,4,"First-Year","1","No",FALSE,3.85,6.4,2.9,1.4,1.6,3.17,2.25,"70%"
23623944,"Female","1",20,3,"Junior","3","No",FALSE,3.96,5.6,2.7,2.9,2.2,3.33,2,"85%"
23624125,"Female","1",18,2,"First-Year","1","No",FALSE,3.856,4.8,3.7,1.6,2.4,2.5,2.25,"65%"
23624167,"Female","1",20,3,"Sophomore","2","No",FALSE,3.1,5.6,2.5,1.7,1.6,3.33,2.5,"65%"
23624174,"Male","2",19,3,"Sophomore","2","No",FALSE,3.1,6,4.9,1.9,1.4,2.67,1,"75%"
23624177,"Male","2",20,2,"Sophomore","2","Yes",TRUE,0,2,4.3,3.2,NA,NA,NA,NA
23624212,"Female","1",21,4,"Senior","4","No",FALSE,3.4,6.6,3.9,1.7,1.8,2,3.5,"75%"
23625645,"Female","1",21,3,"Junior","3","No",FALSE,3.3,5.8,3.6,2.7,3.8,3.5,3.75,"70%"
23626277,"Female","1",19,4,"Sophomore","2","No",FALSE,3.1,5.6,2.4,1.4,2.2,3.33,2,"70%"
23626359,"Male","2",20,3,"Junior","3","No",FALSE,3.1,3.8,3.9,1.1,2.2,3,1.75,"75%"
23626363,"Male","2",22,4,"Senior","4","No",FALSE,3.1,1.4,3.8,4.1,2.6,2,2.5,"60%"
23626382,"Male","2",21,3,"Junior","3","No",FALSE,3.3,5.2,3.7,2.1,3.6,1,1.25,"65%"
23626723,"Female","1",20,4,"Senior","4","No",FALSE,3.73,5.8,3.8,1.5,7,3.5,1,"70%"
23626740,"Female","1",20,2,"Junior","3","No",FALSE,3.72,5.6,3.2,4.1,3,3.33,2.25,"75%"
23626742,"Female","1",20,1,"Sophomore","2","No",FALSE,1.9,NA,NA,NA,NA,NA,NA,NA
23627348,"Female","1",20,3,"Sophomore","2","No",FALSE,3.9,5.2,3,1.7,1.8,2,2.25,"60%"
23627628,"Female","1",19,4,"Sophomore","2","No",FALSE,3.7,5.8,4.4,2.6,1.8,4,1,"75%"
23627898,"Male","2",20,2,"Junior","3","No",FALSE,3.5,4.2,1.7,1.7,3,4,3.5,"65%"
23628087,"Female","1",22,3,"Senior","4","No",FALSE,3.26,5.4,3.7,1.6,2,2.33,2.25,"70%"
23628231,"Male","2",22,3,"Senior","4","No",FALSE,3.1,6,3.9,1.6,1.8,3,2.75,"55%"
23630403,"Male","2",21,5,"Sophomore","2","No",FALSE,2.9,3,3,3,2,4,3,"30%"
23630476,"Female","1",19,2,"First-Year","1","No",FALSE,2.9,4,3.8,3.6,1.8,3.17,3.25,"80%"
23631238,"Female","1",27,1,"Senior","4","Yes",TRUE,3.4,3,2.6,2.2,1.8,2.33,2.25,"60%"
23632930,"Male","2",18,2,"First-Year","1","No",FALSE,3.7,4,3.4,1.8,2.8,3,1.75,"60%"
23633258,"Female","1",19,4,"Sophomore","2","No",FALSE,3.7,5,3,1.9,2.4,2.5,3.25,"60%"
23633533,"Female","1",19,3,"Sophomore","2","No",FALSE,2.5,3,3.7,3.6,1.8,3.33,2,"60%"
23635361,"Male","2",20,3,"Sophomore","2","No",FALSE,3.5,6.2,3.5,1.3,2,2.67,2.25,"55%"
23637112,"Male","2",21,3,"Junior","3","No",FALSE,2.5,3.2,3.6,2.1,1.8,2.83,3.5,"60%"
23637832,"Female","1",19,4,"First-Year","1","No",FALSE,2.8,5.4,1.7,1.5,NA,NA,NA,NA
23641342,"Female","1",26,3,"Senior","4","Yes",TRUE,3.8,4.6,3.2,1.4,1.8,2.83,2.75,"70%"
23641466,"Male","2",18,2,"First-Year","1","No",FALSE,3,5.8,4,2,2.8,NA,NA,NA
23641466,"Male","2",NA,NA,"First-Year","1","No",FALSE,NA,NA,NA,NA,2.8,NA,NA,NA
23643124,"Female","1",20,3,"Junior","3","No",FALSE,3.98,5.6,3.2,1.3,3,3,1.5,"72%"
23643782,"Female","1",20,2,"Junior","3","No",FALSE,3.72,6,3.4,2.9,3.4,4,2.5,"70%"
23647329,"Female","1",20,3,"Junior","3","No",FALSE,3.4,6.2,2.8,2.1,1.8,3.5,3,"65%"
23648276,"Female","1",21,3,"Senior","4","No",FALSE,3,3.4,3.8,1.8,2.4,3,2,"80%"
23650342,"Male","2",18,3,"First-Year","1","Yes",TRUE,3,5,3.1,2.8,NA,4,4,"75%"
23653416,"Female","1",19,2,"Sophomore","2","No",FALSE,3.69,3.25,2.78,4.1,1.8,4,2,"75%"
23653421,"Female","1",18,3,"First-Year","1","No",FALSE,3.94,6.2,2.8,2.5,1.8,3.5,3.5,"40%"
23653427,"Female","1",18,4,"Sophomore","2","No",FALSE,3.65,6.4,4.4,1.6,2.6,3.67,2.5,"80%"
23653511,"Male","2",18,2,"First-Year","1","No",FALSE,2.7,4.6,3.1,1.1,1.8,1.67,3.5,"65%"
23653551,"Male","2",19,2,"First-Year","1","No",FALSE,3.25,3.4,2,2.4,1.8,1,1.5,"50%"
23653726,"Male","2",19,3,"First-Year","1","No",FALSE,3.4,4,3.5,2.1,1.8,3,2,"30%"
23655819,"Female","1",20,2,"Sophomore","2","No",FALSE,2.4,3.8,3.3,3.1,1.6,1,1.75,"80%"
23657014,"Female","1",19,5,"Sophomore","2","No",FALSE,3.6,5.6,3.9,2.7,2.6,2.5,2.5,"70%"
23657017,"Female","1",18,3,"Sophomore","2","No",FALSE,3,4.2,3.2,2.7,2.2,2.67,3.75,"75%"
23657081,"Female","1",18,2,"First-Year","1","No",FALSE,3.7,3.2,3.5,1.7,3,3.17,2.25,"50%"
23657086,"Male","2",18,3,"Sophomore","2","No",FALSE,3.2,5,2.6,2.2,2.2,3,4,"75%"
23657115,"Male","2",21,5,NA,NA,"No",FALSE,3,4.4,3,2.6,3.2,2.33,1.67,"65%"
23657117,"Female","1",21,3,"Junior","3","No",FALSE,3.4,5.6,4.7,3,3.4,3.33,1.25,"58%"
23657118,"Female","1",21,3,"Senior","4","No",FALSE,3.4,5.6,3.6,3.1,3,2,2.5,"70%"
23657125,"Female","1",21,2,NA,NA,"No",FALSE,3.6,3.4,4,1.7,4,4,3.5,"56%"
23657126,"Female","1",21,3,"Junior","3","No",FALSE,3,6.2,3.5,1.4,3.2,3,1.25,"80%"
23657132,"Male","2",25,1,"Senior","4","Yes",TRUE,3.01,1.6,2.9,3.1,3,2.83,1.5,"55%"
23657136,"Female","1",45,3,"Post-bac","5","Yes",TRUE,3.95,5,3.6,1.4,3,4,2.5,"60%"
23657222,"Female","1",19,3,"First-Year","1","No",FALSE,3,3,4.4,2.6,2.6,2.83,2,"40%"
23657279,"Female","1",22,4,"Senior","4","No",FALSE,3.95,5.6,3.8,1.9,1.8,4,3,"75%"
23657286,"Female","1",18,2,"First-Year","1","No",FALSE,4,5.6,NA,NA,NA,NA,NA,NA
23657364,"Female","1",18,2,"First-Year","1","No",FALSE,4,5,3.5,2.8,2.2,2.83,1.75,"80%"
23658560,"Female","1",18,2,"First-Year","1","No",FALSE,4,5.2,4,1.9,2.5,2.33,1.75,"75%"
23660101,"Female","1",22,2,"Junior","3","Yes",TRUE,3.2,3.2,3.7,2.5,3,2,3.75,"70%"
23660166,"Male","2",22,4,"Senior","4","No",FALSE,3.4,4.4,2.7,2.8,1.8,1.5,2.75,"75%"
23661120,"Male","2",19,5,"First-Year","1","No",FALSE,4,5.8,3.4,2.33,1.6,2,1.75,"65%"
23661324,"Female","1",19,3,"Junior","3","No",FALSE,3.1,2.8,2.2,3.9,2.25,2.83,1,"70%"
